name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
BENECIA BOY,none,2575,"sloop, wood","1872, Galloo Isl., NY",21g 15n,"1883, May","at Cape Vincent, NY",Ontario,storm,none,none,?,"She had been fighting a losing battle with a storm while at anchor, so she attempted to raise her hook and put into Cape Vincent. She struck the pier with a force great enough to break her to pieces, but her crew was able to jump onto it before she came apart. Out of Sackett’s Harbor.","hgl,wmn,wmhs,mr",,b,43.47451,-77.259957,estimated_from_place_text_lake_corrected
J.W. BENNETT,"built as JAMES W. BENNETT, renamed in 1913",C131055,"propeller tug, wood","1876, Squires, Huron, OH [US#75895]","91x18x9, 107gc 73nc","1915, Oct 19","Black Bay, Ont.",Superior,wrecked,none mentioned,none,none,"Reportedly wrecked near Porphryry Lighthouse and a total loss. However, her documentation was not closed until 1923 and there is some evidence that she may have survived. Sold Canadian in 1913. Five lives were lost aboard her in Nov, 1876, when she ran aground on Epoufette Shoal. The victims had gone to the cabin above the boailer to keep warm when a steam valve broke, filling the cabin with live steam and smothering them. Sunk in a collision with the steamer SAUGATUCK in upper Green Bay in Aug, 1906 and raised the next year.","mpl,mmgl,hcgl,wmn,nsp,glmd",Image from GLMD,b,47.414577,-88.048193,geocoded_direct_lake_corrected
BENNINGTON,none?,162596,"wrecking barge, wood, unrigged","1891, Saginaw, Mich",250 t,"1908, Sep 5",off Whitefish Point,Superior,hull failure?,2 of 2,2,none,Suddenly foundered in fair weather while under tow. Bound Port Arthur for Soo. Owned by Reid wrecking.,"mv,eas,phr,lssc,gwgl,lss,wmhs",,b,46.735259,-87.067104,estimated_from_place_text_lake_corrected
C.B. BENSON,none,125266,"schooner, wood","1873, J Duff, Port Clinton, OH","136x26x13, 299g 284n","1893, Oct 14","Gravelly Bay, near Port Colborne, Ont.",Erie,storm,7 [all],7,coal,"She was wrecked by a storm and sank in 80 feet of water at 10:15 am while bound for Buffalo from Toledo. The tips of her main & mizzen masts protruded from the water for at least 2 years. A piece of wreckage bearing her name washed ashore below Niagara Falls in 1901. Owned by the Duff Family. Master: Capt. John Duff(d). Ashore for over a month after an Oct, 1877 storm. Sailed the Atlantic, 1874-7, said to be 1st vessel to carry a cargo of corn from the Lakes across the Atlantic. Schooner KATE WINSLOW, owned by same company, was lost 10/14/97, in fact NELLIE A DUFF, C.B.BENSON and KATE WINSLOW, all schooners owned by the Duff family all were lost on Oct 14, but in different years.","nsp,wb,is(2-60),h,mv,ledc,hgl,wes,hcgl,ewe",Image from GLMD,b,41.550913,-81.77267,estimated_from_place_text
JAMES R. BENSON,also seen as J. R. BENSON,C85413,"barge, wood","1873, L. Shickluna, St. Catharine’s, Ont. as a schooner","139x24x12, 370 t.","1899, Jun 20","off Cedar Point, Sandusky bay",Erie,sank,none,none,802 t. coal,"Bound Lorain for Amherstburg, Ont, via Sandusky, she sprang a leak and sank in 20 feet of water. Her crew escaped in her yawl. Master: Capt. Mackey. Owner: Cuddy-Mullen Coal Co., Amherstburg, O nt. The wreck was described as a menace to navigation and so was removed or flattened by dynamite in 1900. Also capsized and foundered on Lake Erie in 1883, with the loss of one life.","nsp,hgl,polk,es,jb,hr,es",Image from GLMD,b,42.261473,-81.041896,estimated_from_place_text_lake_corrected
JAMES R. BENTLEY,none shows in ’69 mvus as JAMES R. BENTLY,12720,"schooner, wood, 3-mast","1867, Bailey Bros., Fairport, OH","170 ft, 575 t.","1878, Nov 12","off 40-mile Point, eastern Straits of Mackinac",Huron,storm,none,none,grain,"Bound Buffalo for Chicago, she struck a shoal in heavy weather and foundered. Her crew was rescued from rough seas by the bark ERASTUS CORNING(qv). Wreck was located in 1984.","mv,hgl,slh,ssm,mpl",,b,43.797521,-81.768122,estimated_from_place_text_lake_corrected
JOHN BENTLEY,none,C?,"schooner, wood, 3 mast","1873, Rathbun [Jamieson – master carpenter], Mill Point, Ont","150x29x12, 518 t.","1886, Oct 15","off Cabbage Head, Georgian Bay",Huron,storm,none mentioned,none,lumber,"Driven ashore by a squall and a total loss, despite a serious effort to rescue her. Owned by William Hall Had a close call with a storm and was rescued by the USLS in Sept of the previous year.","slh,hgl,usls,hr,glmd,mr",,b,43.76209,-81.788643,estimated_from_place_text_lake_corrected
BENTON,none,2145,"propeller, wood, bulk freight","1867, Hitchcock & Gibson, Buffalo as a passenger steamer",152x28x9 308g 159n,"1909, Aug 1","Rouge River, near Detroit, MI",Detroit R,fire,?,none,unfinished wooden automobile parts,"Burned at the Ford Rouge plant while unloading partially finished wood auto parts. Ashore with damage on S Bass Isl, Lake Erie, Oct, 1906. Major repairs in 1883 and probably converted to bulker at that time.","nsp,ns1,mv,mv,mpl,hcgl",Image from GLMD Image early in career – same source,b,42.506175,-82.904731,estimated_from_place_text_lake_corrected
BERLIN,none,2161,"schooner, wood, 3-mast","1854, S. Ruggles, Milan, OH","112x25x11, 214 t. [270t. om]","1877, Nov. 8","Burnt Cabin Pt., near Pte Aux Barques",Huron,storm,4 of 6,4,limestone,"Bound Marblehead, Ohio, for Bay City, she was driven ashore and broken up in gale. The captain, cook & a deckhand were washed overboard. Capt’s son died of exposure while lashed to the rigging. Homeport: Buffalo. Master: Capt. A. M. Johnson(d). Capsized in the Straits of Mackinac in a squall in late April, 1861, crew all safe. Recovered by the wrecking tug LEVIATHAN.","nsp,slh,sol,h,lhdc,mv,hgl,usls,es,ec",,b,44.282337,-82.89653,estimated_from_place_text_lake_corrected
BERLIN CITY,none,none,"sidewheel steamer, wood, passenger & package freight","1856, Phelps, Ruddock & Co., Berlin, Wis.","100 ft., 74 t.","1870, Nov 24","Oshkosh, Wis.",Michigan,fire,none,none,?,"Destroyed by fire. Owned by Morse & Paige, Oshkosh. Stranded at the same place Jul 8 1861. No detail.","eas,lhl,nsp,whs",,b,43.656,-87.462,geocoded_direct_lake_corrected
BERMUDA,none,2100,"schooner, wood","1869, G. Goble, Oswego, NY","138x26x12, 394t","1870, Oct 9","Grand Island, near Munising, MI",Superior,storm,3,3,iron ore,"Sank in almost the same spot in November of ’69. Raised July ’70 and rebuilt and was on her 1st trip when cast into the shallows. She was tied up to trees ashore, but suddenly foundered when the bank gave way. At first it was reported that no lives had been lost. Master and owner: Capt. P. Turney. Raised again in 1883, but abandoned in 1884 without repair even though she was lying above water at Grand Island waiting to be towed to Detroit in July.","nsp,ms,gwgl,is,osdo,tel,lss,hgl,mpl,rp",Image from GLMD,b,47.250365,-87.538666,estimated_from_place_text_lake_corrected
BERMUDA,none,C72701,"schooner, wood","1868, J. Tait, Sophiasburg, (Robbins Cove, Long Reach,) Ont.","96x23x8, 160 t","1880, Nov 6","off Port Granby, Ont. [False Ducks]",Ontario,storm,none,none,9000 bu. barley,"Grounded intentionally when she began to leak, the vessel and Carrying becoming a total loss on the rocky shore. Bound Oshawa, Ont., for Oswego, NY. Registered out of Whitby, Ont.","nsp,csqw,h,mmgl",,b,43.639687,-77.157764,estimated_from_place_text_lake_corrected
LOTTA BERNARD,none name actually consists of two first names,15635,"sidewheel steamer, wood, “rabbit” freighter","1869, W & L Jackson, Port Clinton, OH [fitted out at Sandusky]","125x20x7, 147 t. [190 t. old measure]","1874, Oct 29",off Encampment Isl.,Superior,storm,3,3,general merch,"Foundered in a terrific gale while bound Silver Islet for Duluth. She was capable of only 4 mph & was at the mercy of any fast-rising storm. Her skipper put her under full steam and ran for Duluth, but it became apparent that she would founder, so he put her in the shallows 6 miles below Encampment River. Her crew made it to shore in her boat, but three died of exporsure in the a long trek to find help in this desolate area. They finally staggered into an Indian settlement, where they found shelter. Owned by E. Ingalls & Co. of Duluth. Master: Capt. Michael Norris.","nsp,lss,gwgl,is,www,hgl,mpl,hcgl",Image from GLMD,b,47.210392,-87.592481,geocoded_lake_centroid
FRANCES BERRIMAN,none also spelled FRANCIS,120067,"schooner, wood, 3-mast (also described as a bark, in error)","1872, Parsons & Humble, Tonawanda, NY","180x33x14, 669 t.","1877, May 7","10 mi off Sturgeon Pt., MI",Huron,collision,2 of 10,2,wheat,"Bound Milwaukee for Buffalo, she collided with the steamer DAVID W. RUST at about 10:30 pm and sank. RUST saved 8 of her crew. The collision was apparently due to a passing error. She sank in about 11 minutes. Out of Erie, PA and owned by Berriman Bros., Buffalo. Master: Capt. Norris.","nsp,slh,hgl,usls,mv,es,hr",,b,45.085285,-83.263207,geocoded_dist_offset
JACOB BERTSCHY,none also seen as JACOB BETSCHY and J. BERTSCHY,75124,"propeller, wood, bulk freight","1867, A.C. Stokes, Sheboygan, WI","140x27x9, 467 t.","1879, Sep 3","just W of Grindstone City, MI",Huron,storm,none of 51,none,wheat & shingles,"She was sheltering in Port Austin harbor when the wind shifted and she began to pound heavily. Made for open water, but sprang a leak and was run for the beach under a bluff to save her passengers and crew. Enroute she shipped so much water that her fires were doused and she lost steam, went on a reef and wrecked. Pte Aux Barques Lifesaving crew took her people off by lifeboat after a terrific struggle. BERTSCHY was totally destroyed by the storm. Bound Saginaw for Cleveland. Master: Capt. G. W. McGregor. Suffered over $10,000 damage in a fire at Depere, Wisconsin, in August of 1872.","mv,slh,h,lhdc,lhl,hgl,usls,mpl,nsp,hr",,b,43.979062,-82.937747,geocoded_direct_lake_corrected
BERWYN,"built as R. C. CRAWFORD, renamed CAPT. GEORGE W. NAUGHTIN in 1883, BERWYN in 1901",21585,"schooner, 3-mast, wood, bulk freight","1866, Chas. Hinman, Algonac, MI*",132x29x10 269g 238n,"1908, Nov 25","2 mi from Pilot Isl. Light, Death’s Door",Michigan,storm,none,none,light,"Caught by a sudden gale, she stranded and broke up on a reef. Tow of steamer WALTER VAIL. Owned out of Chicago by J. P. Bates. *Builder also given as Smith & Butterfield. Major repairs in 1880, 1884","nsp,ns1,lmdc,mv,eas,mpl,hcgl,wgts",Image from GLMD,b,43.339938,-86.416504,estimated_from_place_text_lake_corrected
BESSEMER,built as JUSTIN R. WHITING renamed in 1885,46130,"propeller, wood, bulk freight","1875, Langell, St. Clair, MI","178x28x16, 590g","1889, Oct 5",off North end of Portage Ship Canal,Superior,storm,none,none,iron ore,"She and consort SCHUYLKILL were struck by a rapidly-rising gale, and ran for the Canal when it became apparent that BESSEMER was going to sink. The two went onto a reef at the mouth of the canal, collided and broke up quickly. Crew were able to jump onto the breakwater. Her remains partly blocked the canal until cleared by dynamiting the next fall. Master: Capt. Hurlburt. She was rebuilt from WHITING to BESSEMER at Milwaukee in 1885-6, being lengthened 45 feet and widened 3 feet!","nsp,gwgl,h,ks,mv,eas,lss,wb,hgl,sb,mpl,df,hr",,b,47.175489,-87.450965,estimated_from_place_text_lake_corrected
BETHLEHEM,"built as E.P. WILBUR, renamed in 1904",135984,"propeller, steel, package freight","1888, Globe Shipbuilding, Cleveland hull# 16","290x41x14, 2633g 1902n","1910, Sep 23",SW side of S. Manitou Isl.,Michigan,storm,none,none,general merch,"Went ashore in gale. Lifesavers and crew unloaded her over several days. Battered by several storms while ashore. Local sources say she broke up in place, but she was actually pulled off and repaired at Milwaukee. Sold for the Atlantic trade in 1917, scrapped in 1923.","is(1-61),smi,hcgl",Image from GLMD,b,43.468614,-86.91611,estimated_from_place_text_lake_corrected
BETTY L,none,207885,"propeller fish tug, wood, gas engine","1909, Naubinway, Mich","30x10x3, 6g","1917, Oct 26","Wiggins Pt., Michigan",Michigan,storm,2 of 2,2,gear,Wrecked and foundered in a fall storm. See also ELLA W.,"mv,hr",Image as SMITH from GLMD,b,43.639903,-86.605743,estimated_from_place_text_lake_corrected
BIG Z.,none,none,"schooner, wood, 2-mast","1844, Z. Wright, Lexington, MI","112x20x9, 168 t. om","1859, Feb 9","5 mi S of Sheboygan, WI",Michigan,storm,(none),none,?,"She was driven ashore by a storm and broken up. Rebuilt and enlarged in 1848 at Irving, NY. Originally 88x20x9, 128 t. om Sunk at Cleveland with heavy damage in 1849.","bb,wl,hgl,bcw,whs,hr",,b,43.270424,-86.506243,estimated_from_place_text_lake_corrected
J. BIGLER,none also shown as JOHN BIGLER,12785,"scow-schooner, wood","1866, J.M. Jones, Detroit","144x26x12, 344g 327n","1884, Sep 3","off Lower Entry to Keweenaw Waterway, about 10 mi N of Huron Isls.",Superior,storm,none,none,stone,"Bound Nipigon for Chicago, she foundered in gale. Owned by G.L. Finney of Chicago Major repairs in 1878","mv,lss,ks,osdo,df,hr,nsp",,b,47.205491,-87.523459,estimated_from_place_text_lake_corrected
MARY BIRCKHEAD,none also seen as MARY BIRKHEAD,17618,"schooner-barge, wood, 2-mast [scow hull]","1867, Jackson, Oak Harbor [or Sandusky, OH]","125x26x10, 226g 215n","1891, Oct 9",at Lime-Kiln Crossing,Detroit R,collision,none of 6,none,coal,"Bound for Port Huron in tow of the tug ANNIE MOILES, she collided with the steamer ROMAN and sank near the Crossing. The wreck nearly blocked the channel completely until the end of the month, when it was blown up with dynamite. Document surrendered at Port Huron 12/31/1891, annotated “wrecked, total loss.” Owned by Peter H. Fisk or Fick, Saginaw","phr,polk,mv,hgl,wl,es",,b,42.472227,-82.838381,geocoded_lake_centroid_lake_corrected
P.H. BIRCKHEAD,none,20400,"propeller, wood, bulk freight","1870, D. Lester, Marine City, MI",157x28x13 495g 222n,"1905, Sep 30","off docks at Alpena, MI",Huron,fire,none of 13,none,coal,"She had been towed in to Alpena the previous day with a blown cylinder head. After repairs, she was pulling away from the dock when she caught fire, burned to waterline and sank in the Bay. Bound Ashtabula for Racine. Owner: James O’Conner, Tonawanda. Master: Capt. James Heffron. Unusual twin tandem arch construction [double arches built into hull on both sides] and built with twin compound engines running a single shaft.","nsp,stb,slh,ns1,mv,lhdc,mpl,eas,hcgl",Image from GLMD,b,44.47564,-82.586159,geocoded_lake_centroid
BIRDIE,none,3143,"schooner, wood, 2-mast","1881, Sheboygan, WI","47x11x3, 13g 12n","1892, Oct 7 or 9","in Hammond Bay, E Straits of Mackinac",Huron,storm,none,none,?,"She dragged ashore and wrecked in a gale. She was purchased where she sat in November in hope of salvage, but finally given up as lost the following summer. Some official lists show her built in 1878.","phr,slh,h,hgl,usls",,b,45.658172,-83.573174,geocoded_near_at_lake_corrected
BIRMINGHAM,none,none,"schooner, wood","1843, Vermillion, Oh",138 t.,"1854, Dec 4","Horseshoe Reef, in front of Buffalo harbor",Erie,storm,none mentioned,none,coal,"Bound Erie for Buffalo, she went on the reef in a snowstorm. Sources disagree as to whether she was recovered or destroyed. The loss was $4000, about the value of the ship.","wmn,hgl,wmhs",,b,41.578783,-82.136801,estimated_from_place_text
H.B. BISHOP,also seen as HENRY C. BISHOP,none,"schooner, wood, 2-mast","1846, Jacob W Banta, Buffalo","122x25x9, 264t","1852, Oct","Nottawasaga Harbor, Georgian Bay",Huron,storm,none,none,grain,Driven over a bar and into shallows by storm. She was at Nottawasaga to prove that the harbor was navigable to larger schooners. Her remains were still visible on the beach for at least 100 years.,"tfgl,slh,hgl,rnc",,b,43.924776,-81.903899,estimated_from_place_text_lake_corrected
HARVEY BISSELL,also shown as HARVEY BISSEL,11281,"schooner-barge, wood, 2-mast, bulk freight","1866, Little, Toledo, OH as a bark",162x34x12 497g 472n,"1905, Nov 28",at Alpena near Minor Lumber dock,Huron,storm,none,none,"700,000 bd ft hardwood lumber","Tow of the steamer McGREGOR and blasted by sudden, violent gale, she was driven ashore near Bell, Michigan [also called False Presque Isle Harbor]. The steamer took her crew off, and, though she had a hole in her bottom, she was not thought to be much damaged. She was towed into Alpena the next day by the tug JOHN OWEN and set to anchor near the Minor Lumber dock. During the night of the 27th a storm blew up and the vessel pounded heavily on the bottom. The old hull soon shivered and broke up completely. Research note: Most sources give a different account of this loss – this one is from the 1905 Alpena, Michigan, newspapers, on the scene at the time. Spent the winter of 86-87 ashore after stranding on Green I. Shoal, near the Straits. Major repairs in ’74, ’79, ’82 and ’87 She stuck on the ways during her launch and took several days to remove.","slh,lol,mol,stb,sol,ns1,mv,nsp,eas,phr,mpl,hcgl,wwl",Image from GLMD,b,44.517886,-82.544126,geocoded_lake_centroid
BLACK HAWK,none,none,"brig, wood, 2-mast","1854, Stevens & Presley, Ohio City, OH","138x26x12, 385 t.","1862, Nov 1",Pte Aux Becs Scies (Point Betsie),Michigan,storm,all,all,"19,000 bu. corn [stained glass, etc. also reported]","She was driven ashore and wrecked in a gale. Owned by D. N. Barney of Buffalo Sailed Detroit to Liverpool and back, 1858.","h,lmdc,hgl,wl,nsp,glmd",,b,43.144304,-87.83881,estimated_from_place_text
BLACK HAWK,?,(2236),"(scow-)schooner, wood","(1862, Chicago)",(115 t.),"1887, Nov",unknown,Michigan,went missing,all,all,?,"No detail. The only BLACK HAWK shown in ’84 mvus was E. Saginaw-built boat which lasted into 20th century [US#2140], however, a 130 t. scow-schooner of this name – disposition unknown – was built at St. Joseph, MI in 1857, and a brig of this name – disposition also unknown – was built by Peck & Masters, Cleveland, in 1854.","mv,glss,sol,nsp,rsl,wmhs",,b,43.460743,-87.000564,geocoded_lake_centroid
BLACK MARLIN,built as fish tug MARTHA M. renamed in 1953,233702,"propeller tug, wood, diesel","1935, Mininger, Vermilion, Oh","40x14x3, 11g 9n","1958, Nov 29","near Avon Point, W of Cleveland",Erie,storm,none of 2,none,none,,"ledc,ja,hcgl,mv",,b,41.542907,-82.105073,estimated_from_place_text
BLACK ROVER,none,(none),"scow-schooner, wood","1855, Lumm & Lyon, Black R., OH","81x22x5, 79 t. [om]","1867, Nov 29",Cleveland,Erie,storm,1,1,wood,"Bound Black River for Cleveland, she was overwhelmed by a storm while entering the harbor and driven ashore near the Water Works, where she broke up. All but one of her crew made it to shore safely. Out of Black River","nsp,rsl ,wmn",,b,42.814062,-79.581393,estimated_from_place_text_lake_corrected
BLACKBIRD,?,?,"?(schooner, wood)","?(1867, R. Hooper, Wilkesport, Ont.)","?(76x20x6, 65 t.)",?(unk*),unknown,Ontario,went missing,all,all,?,"no detail (*Canadian document surrendered as “out of existence,” date not given)",(mmgl),,b,43.477011,-77.430348,geocoded_lake_centroid_lake_corrected
JAMES G. BLAINE,"built as PENSAUKEE, renamed in 1890",20195,"schooner-barge, wood, 3-mast, bulk freight","1867, T.Spears, Little Sturgeon Bay, WI",177x34x13 555g 527n,"1908, Jul 8","near Oswego, NY",Ontario,storm,none of 7,none,coal,"Tow of tug WILLIAM G. PROCTOR, she broke her towline and was driven ashore, then broken up by waves. Bound Charlotte, NY for Prescott, Ont. Still fully-rigged as a 3-mast schooner at time of loss. Owned by Richard Fitzgerald of Ogdensburg, NY","is,ns1,h,mpl,hcgl,mv",Image from GLMD,b,43.546282,-77.158425,estimated_from_place_text_lake_corrected
EDWARD BLAKE,none,C73912,"schooner, wood, 3-mast","1872, L. McDermand, Port Burwell, Ont.","139x26x12, 330 gc 312 nc","1898, Oct 23","Duck Islands, near Manitoulin",Huron,fire,none mentioned,none,none,"Caught fire and while underway, and later burned to a charred wreck ashore on Main Duck Island. Out of Kinston, Ont., owned by banker Thomas Mills. Master: Capt. John Sidney.","nsp,slh,hgl,jb,mmgl",Image from GLMD,b,43.933691,-81.790185,estimated_from_place_text_lake_corrected
EMMA BLAKE,also seen as EMMA BLACK,36059,"scow-schooner, wood","1868, Blake, Conneaut",28 t.,"1870, Oct 17",in harbor at Cleveland,Erie,storm,all,all,?,"Blown against the Toledo railroad pier and sank, total wreck. Out on Conneaut, OH. Major repairs in 1870.","nsp,is,hgl,wl,rnc",,b,42.781818,-79.69378,estimated_from_place_text_lake_corrected
J.W. BLAKE,none also seen as I.W. BLAKE,none,"scow-schooner, wood","1853, Dover, OH","68x18x3, 33 t. [om]","1855, Jun 2","4 miles off Sturgeon Bay, WI",Michigan,storm,none,none,lumber,"Capsized in a squall. Her crew escaped in her yawl, though one who was asleep almost didn’t make it. Master: Capt. Calvin? Thought to be a total loss, but later recovered and rebuilt.","slh,hgl,nsp,wl",,b,43.393787,-86.429388,estimated_from_place_text_lake_corrected
B.W. BLANCHARD,none,2806,"propeller, wood, bulk freight","1870, J. Martin, Cleveland",212x32x12 919g 526n,"1904, Nov 28","North Point reef, Thunder Bay, MI",Huron,storm,none,none,"lumber, 2-barge tow","Inbound in a gale with barges J.T. JOHNSON (qv) and JOHN KELDERHOUSE in tow., she was driven on the reef, broke in half and sank. Abandoned, but her boiler was recovered a few days later. Built as a passenger/freight steamer, converted to bulker at Milwaukee in 1901 after a serious fire. Arch-braced. Heavily damaged by fire at Milwaukee in June, 1885. Collided with and sank the steamer ARIZONA(qv) on St. Clair Flats in 1873.","nsp,stb,slh,ns1,h,mv,mpl,hr,hcgl",Image as wreck form GLMD,b,44.240721,-82.217203,estimated_from_place_text_lake_corrected
BLANCHE,none,C71061,"schooner, wood, 2-mast (or sloop)","1874, W. Jamieson, Mill Pt., Ont.","82x21x7, 92gc 92nc","1888, May 26","Between Oswego and Brighton, Ont.",Ontario,storm,5 [all],5,coal,"Went missing in a squall. One captain who knew the boat & crew theorized that she dove to the bottom with all sails set. Some wreckage later washed ashore near Wellington, Ont. Owned by A. Campbell of Port Colborne. Master: Capt. John Henderson(d).","mmgl,nsp,hgl",,b,43.625462,-77.118494,estimated_from_place_text_lake_corrected
BLAZING STAR,none,2868,"schooner, wood, lumber","1873, H. Burger, Manitowoc, WI","137x26x10, 265 t.","1887, Nov 10","Fisherman Shoal, Washington Isl. WI",Michigan,navigational error,none,none,lumber,"Went on the reef in fine weather, even though the wreck of the steamer I.N. FOSTER was in full view on the reef. Captain was unable to locate a tug to pull her off, and she broke up in heavy weather that followed. Master and owner: Capt. Comerford. Vessel abandoned for good in Jun, 1888. Ashore with heavy damage on Long Point, Nov, 1883, and given up as lost, but later recovered.","nsp,h,lmdc,mv,eas,osdo,wb,hgl,mpl,bb,wgts,hr",,b,43.355466,-87.588721,estimated_from_place_text
ELISHA C. BLISH,"also seen as E.C. BLISH, E.D. BLISH",none,"propeller tug, wood (also seen as a schooner)","1857, Chas. Hinman, Black R. OH","81x16x9, 107 t.",1864,mid-lake,Huron,went missing,all,all,?,"Foundered with all hands at unknown position.. Master: Capt. A. G. Peer(d). She sank herself near shore at Algonac April 15, 1862, when a steam pump was accidentally left in a position to pump water into the vessel.","slh,hgl,wl,nsp not in mmgl",,b,44.468307,-82.480998,geocoded_lake_centroid
A.T. BLISS,none,29925,"schooner-barge, wood, 2-mast","1881, T Arnold, E. Saginaw as a schooner",168x31x10 437g 415n,"1903, Nov 4","10 mi NW of Ludington, MI",Michigan,storm,none,none,stone,"Bound Sturgeon Bay, WI for Ludington, she was lost from the tow of the tug SYDNEY SMITH and overwhelmed. The big carferry PERE MARQUETTE 18 steamed out of Ludington to rescue her 2-man crew. Owned by Sturgeon Bay Stone Co. Master: Capt. Thos. Tollefson. Rebuilt from a schooner to a schooner-barge in 1888.","nsp,ns1,h,vbs,mpl,hcgl",Image from GLMD,b,43.355532,-86.654866,estimated_from_place_text_lake_corrected
CARRIE H. BLOOD,none,125126,"propeller, wood, passenger & freight","1871, Lester, Marine City",96 g,"1882, Nov 28",at Gibraltar,Erie,fire,none,none,small amount of cargo,"While she was sitting at her wharf, her crew having dinner, the vessel caught fire. Her crew was unable to save her and she burned to the waterline, a total loss of $10,000. She had been running a regular route between Gibraltar and Detroit. Registered out of Detroit and owned by W. K. Muir.","wmhs,mv,nsp,wl",,b,42.18242,-81.007829,geocoded_lake_centroid
HELEN BLOOD,none,11173,"schooner, wood","1853, Thurston, Kingston, Ont",130 g,"1880, Jul 31","at Michigan City, Ind",Michigan,storm,none,none,lumber,"She was driven ashore by a gale near the lighthouse pier, heavily damaged and expected to break up. No official or unofficial record of her after this. Purchased as a wreck by by Thomas Lyon, who put a lot of effort into recovering her. The schooner LUCIA A SIMPSON was also ashore nearby at the same time and not expected to survive, but lasted until 1935. Earliest known U. S. reg: 1863, Oswego; latest 1879, Muskegon","nsp,wmhs,mv,wl,glmd,lt",,b,43.591317,-86.666264,estimated_from_place_text_lake_corrected
IDA H. BLOOM,none,12134,"schooner, wood","1864, R. Cowles, Detroit","85x20x5, 81g","1879, Nov 15",a mile below Clay Banks,Michigan,storm,none mentioned,none,RR ties and wood,"She ran aground and her hull was damaged by rocks. A tug company delayed going to save her when another storm began to blow in, and she was damaged more and then abandoned. Master: Capt. Patrick Murphy and owned by him with Thomas Robinson, Manitowoc. Capsized in Lake Erie in 1864.","wgts,hgl,wmn,bb,wl,hr",,b,43.454567,-86.991531,geocoded_lake_centroid
BLUE COMET,built as TROY SOCONY renamed BLUE COMET in 1946,222943,"motor propeller, steel, tanker","1923, Sun Shipbuilding, Chester, PA",254x38x14 957g 611n,"1953, Oct 29","at Calumet, IL",Michigan,fire,1,1,"500,000 gal. gasoline",Exploded and burned in one of the biggest tanker fires ever on the lakes. Later recovered and rebuilt. Scrapped in 1964.,"a&f,mpl,hcgl",,b,41.907,-87.495,geocoded_near_at_lake_corrected
BLUE BELL,none also seen as BLUE BELLE,2235,"scow-schooner, wood, 2-mast","1867, Edwards, Milwaukee","84x25x7, 122g 116n","1887, Sep 6","off the Sturgeon Bay, WI, harbor entrance",Michigan,storm,none,none,lumber,"Bound Wilt’s Bay, Michigan, for Milwaukee, she missed the harbor entrance while attempting to dock, and was driven ashore, where she broke up. Her crew made it to the beach, with the aid of the local USLS crew. Total loss of about $5000. Remains removed by dredging operations in 1894. Homeport: Manitowoc.","mv,eas,wb,sagl,h,hgl,sb,hr,usls,wgts,glmd,wl",,b,43.454075,-87.0414,exact_lake_corrected
BESSIE BOALT,none,2584,"schooner, wood","1868, Boalt, Wolf R. [Ahnapee], WI","103x27x9, 173 g, 164 n.","1884, Sep 21","4 mi NE of Two Rivers, WI, lifesaving station",Michigan,storm,none of 6,none,Lumber,"Bound Leland, MI, for Milwaukee, she capsized offshore and was wrecked in a gale. Her crew made it to shore in her boat. Master: Capt. John Freer. Some cargo was later recovered, but the vessel went to pieces by Oct 4. Homeport: Milwaukee, owned by Capt. Martin Blackburn. Stranded and declared a total loss 4 mi NE of Two Rivers, WI, in Sep of 1872, but was later recovered. Some loss of life. Reported wrecked in a Nov 6, 1877, gale near Frankfort, MI, but recovered again.","mv,h,lmdc,hgl,usls,bb,wl,hr",,b,43.346204,-86.660329,estimated_from_place_text_lake_corrected
BOAZ,none,2791,"schooner, wood, bulk freight","1869, Stokes, Sheboygan, WI",114x22x8 127g 121n,"1900, Nov 10","North bay, near Bailey’s Harbor, WI",Michigan,storm,none,none,elm lumber,"Bound Pierport, Mich., for Racine, she attempted to shelter in North Bay. She was driven hard aground and wrecked. She was soon abandoned , though her spars were recovered three years later. Owned by Chas. S. Burnham of Milwaukee.","nsp,ns1,lmdc,mv,wgts",,b,43.316251,-86.456964,estimated_from_place_text_lake_corrected
BOHEMIAN,none,none,"schooner, wood, 2-mast","1856, Buffalo, NY","137x26x11, 373 t. [om]","1856, Oct 22","S shore of Port Washington, WI, harbor",Michigan,storm,none,none,"pig iron, RR wheels","She stranded 200 yards S of Silverman’s Pier and broke up, on the same day as the disastrous loss of the steamer TOLRDO a short disatnce away. Her crew was rescued from shore by locals. Master: Capt. Lewis Turner. Owned by Littlejohn and Fitzhugh, Oswego. The same parties were to lose the schooner ARABIAN at Pt. Betsie a month later.","hr,rp,hgl,blu[1856],wmn",,b,43.36871,-87.461618,estimated_from_place_text
